words,meanings
panda,熊猫
panic,恐慌
paper,纸
party,聚会，派对
pause,暂停
peace,和平
peach,桃子
pence,便士
penny,一分钱
phone,电话
photo,照片
piano,钢琴
piece,一块
pilot,飞行员
place,的地方
plain,平原
plane,飞机
plant,植物
plate,板
point,点
pound,英镑
power,权力
price,价格
pride,骄傲
print,打印
prize,奖
proud,骄傲
prove,证明
pulse,脉冲
pupil,学生
purse,钱包
quake,地震
queen,女王
queue,队列
quick,快速
quiet,安静的
quilt,被子
quite,相当
radio,广播
rainy,多雨的
raise,提高
range,范围
rapid,快速
razor,剃须刀
reach,达到
react,反应
ready,准备好了
refer,请参考
relax,放松
relay,继电器
reply,回复
rhyme,押韵
right,正确的
rigid,刚性
ripen,成熟
river,河
roast,烤
robot,机器人
rough,粗糙的
round,轮
royal,皇家
rugby,橄榄球
ruler,统治者
salad,沙拉
salty,咸
scare,恐慌
scarf,围巾
scene,场景
scold,骂
score,分数
seize,抓住
sense,感觉
serve,服务
shade,阴影
shall,应
modal,模态
shame,羞愧
shape,形状
share,分享
shark,鲨鱼
sharp,锋利的
shave,刮胡子
sheet,表
shirt,衬衫
shock,冲击
shore,海岸
short,短
modal,模态
shout,喊
sight,视线
silly,愚蠢的
since,自
skate,滑冰
skill,技能
skirt,裙子
slave,奴隶
slice,片
slide,幻灯片
small,小
smart,聪明的
smell,气味
smile,微笑
smoke,烟
snake,蛇
sniff,嗅嗅
snowy,雪
solar,太阳能
solid,固体
sorry,对不起
sound,声音
south,南
space,空间
spade,铲
spare,备用
speak,说话
spear,矛
speed,速度
spell,拼写
split,分裂
spoon,勺子
sport,体育运动
spray,喷雾
staff,工作人员
stage,阶段
stain,染色
stair,楼梯
stamp,邮票
stare,盯着看
start,开始
state,状态
steak,牛排
steam,蒸汽
steel,钢
steep,陡峭的
still,仍然
stone,石头
store,商店
storm,风暴
story,故事
stout,结实的
stove,炉子
straw,稻草
study,研究
style,风格
sugar,糖
suite,一套
sunny,阳光明媚的
super,超级
sweat,汗水
sweet,甜蜜的
swift,斯威夫特
swing,摇摆不定的
sword,剑
table,表格
table,表格
taste,味道
tasty,美味的
teach,教
tease,取笑
tense,紧张的
thank,谢谢
theft,盗窃
their,他们的
theme,主题
there,在那里
these,这些
thick,厚
thing,事情
those,那些
tiger,老虎
tight,紧
tired,累了
title,标题
toast,烤面包
today,今天
topic,主题
total,总计
touch,触摸
tough,艰难的
towel,毛巾
tower,塔
track,跟踪
trade,贸易
train,火车
treat,治疗
trend,趋势
trial,试验
trick,技巧
troop,部队
truck,卡车
truly,真正的
trunk,树干
trust,信任
truth,真理
tutor,导师
twice,两次
twist,扭
uncle,叔叔
under,下
unfit,不称职的
union,联盟
unite,团结起来
until,直到
upper,上
upset,心烦意乱
urban,城市
usual,通常
vague,模糊的
valid,有效的
value,价值
video,视频
virus,病毒
visit,访问
vital,至关重要的
vivid,生动的
voice,的声音
waist,腰
waste,浪费
watch,看
water,水
weigh,重
whale,鲸鱼
wheat,小麦
wheel,轮
where,在哪里
which,哪一个
while,而
white,白色
whole,整个
whose,谁的
widow,寡妇
modal,模态
windy,多风的
women,女性
world,世界
worry,担心
worth,价值
would,将
modal,模态
wound,伤口
wrist,手腕
write,写
wrong,错误的
young,年轻的
yours,你的
youth,青年
yummy,美味的
zebra,斑马
